,Prefix,Last,First,Suffix,FilingType,StateDst,Year,FilingDate,DocID
129,HONORABLE,DAVIS,GEOFF,,O,KY04,2008,5/15/2008,8135682
130,HONORABLE,DAVIS,LINCOLN,,A,TN04,2008,7/25/2008,8138979
131,HONORABLE,DAVIS,LINCOLN,,O,TN04,2008,6/11/2008,8138202
132,HONORABLE,DAVIS,SUSAN A.,,O,CA53,2008,5/15/2008,8135684
133,HONORABLE,DEAL,NATHAN,,A,GA09,2008,7/16/2008,8138890
134,HONORABLE,DEAL,NATHAN,,O,GA09,2008,6/17/2008,8138640
135,HONORABLE,DEFAZIO,PETER A.,,O,OR04,2008,4/30/2008,8135685
136,HONORABLE,DEGETTE,DIANA,,A,CO01,2008,6/30/2008,8138802
137,HONORABLE,DEGETTE,DIANA,,A,CO01,2008,6/30/2008,8138803
138,HONORABLE,DEGETTE,DIANA,,O,CO01,2008,5/15/2008,8135686
139,HONORABLE,DELAHUNT,WILLIAM D.,,O,MA10,2008,5/15/2008,8135687
140,HONORABLE,DELAURO,ROSA L.,,A,CT03,2008,6/27/2008,8138804
141,HONORABLE,DELAURO,ROSA L.,,O,CT03,2008,5/14/2008,8135688
142,HONORABLE,DENT,CHARLES W.,,O,PA15,2008,7/17/2008,8138891
143,HONORABLE,DIAZ-BALART,LINCOLN,,O,FL21,2008,5/15/2008,8135689
144,HONORABLE,DIAZ-BALART,MARIO,,O,FL25,2008,5/14/2008,8135690
145,HONORABLE,DICKS,NORMAN D.,,O,WA06,2008,5/13/2008,8135691
146,HONORABLE,DINGELL,JOHN D.,,O,MI15,2008,5/13/2008,8135692
147,HONORABLE,DOGGETT,LLOYD,,O,TX25,2008,5/15/2008,8135693
148,HONORABLE,DONNELLY,JOE,,A,IN02,2008,6/8/2012,8206295
149,HONORABLE,DONNELLY,JOE,,O,IN02,2008,5/15/2008,8135694
150,HONORABLE,DOOLITTLE,JOHN T.,,O,CA04,2008,5/15/2008,8135695
